ride_id,booking_date,pickup_time,city,driver_id,rider_id,vehicle_type,distance_km,fare_amount,payment_method,ride_status,driver_rating,rider_rating,surge_multiplier,promo_code_used,trip_duration_mins
RD005305,2024-01-12,16:33,singapore,DRV0603,RDR03337,premium,4.11,9.71,Debit Card,Completed,1.9,5.2,1.0,No,23.3
RD002313,12/11/2024,06:33:06,Ho chi minh city,DRV0592,RDR02122,PREMIUM,8.37,17.13,E-Wallet,Completed,5.4,5.0,2.5,No,41.0
RD007041,2024-08-17,19:04,Manila,DRV0715,RDR01334,premium,3.97,7.01,E-wallet,Completed,2.7,4.1,1.0,No,23.3
RD001890,17/01/2024,21:27,jakarta,DRV0141,RDR03349,Eco,6.11,11.25,eWallet,Canceled,5.4,4.1,1.0,No,35.6
RD008992,2024-06-27,21:56:09,manila,DRV0787,RDR02851,ECONOMY,,7.8,CASH,Completed,4.8,4.4,1.0,No,16.4
RD000170,08/03/2024,19:14:26,Bangkok,DRV0501,RDR02481,BIKE,3.77,10.96,CASH,COMPLETED,3.9,5.4,2.0,No,
RD001796,2024-11-28,11:26:27,Ho chi minh city,DRV0757,RDR04361,Economy,7.85,17.47,Cash,Completed,,4.9,1.2,No,27.7
RD003976,06/05/2024,17:13:17,Kuala Lumpur,DRV0377,RDR00733,economy ,1.69,3.74,Credit Card,Completed,4.8,4.9,1.2,No,10.4
RD006821,06-05-2024,12:40 PM,Jakart,DRV0785,RDR00689,PREMIUM,9.61,18.51,E-wallet,Completed,5.2,4.3,1.8,No,32.4
RD007827,01-06-2024,22:07:39,Manilla,DRV0056,RDR04186,economy,12.34,21.47,wallet,Completed,5.0,1.9,1.8,Yes,78.9
RD011810,12/02/2024,20:44:50,Manila,DRV0751,RDR03088,economy ,2.67,5.57,Cash,Completed,4.2,4.2,1.0,No,16.3
RD001040,2024-02-26,16:22:46,kuala lumpur,DRV0083,RDR02558,economy,7.31,13.63,Credit Card,Completed,2.9,3.2,1.2,No,28.2
RD002849,23/10/2024,08:59,JAKARTA,DRV0773,RDR02856,Economy,3.27,8.35,E-wallet,No-show,5.1,3.8,1.2,No,9.0
RD003372,2024-05-29,11:54:32,Manilla,DRV0046,RDR02314,economy,10.29,20.02,Debit Card,Completed,2.7,3.2,1.0,No,35.4
RD008830,2024-07-12,09:30:26,Bangkok,DRV0573,RDR02659,Eco,6.12,11.96,wallet,Completed,3.9,,1.2,no,23.4
RD010350,28/06/2024,19:09,Ho chi minh city,DRV0634,RDR03093,economy,4.88,10.57,Credit Card,Completed,4.8,5.0,1.0,no,25.6
RD008798,2024-06-25,16:55,KL,DRV0341,RDR02605,Bike,14.71,22.66,Cash,No-show,3.9,4.8,1.0,No,70.4
RD000765,2024-05-24,01:20:22,Kuala Lumpur,DRV0621,RDR03031,Eco,2.89,8.06,card,Completed,4.2,4.9,1.5,No,
RD001594,2024-07-07,17:27:32,SG,DRV0415,RDR01132,economy,4.4,9.09,wallet,Completed,2.7,5.1,1.5,No,24.3
RD014233,2024-10-05,12:33:43,JAKARTA,DRV0360,RDR01011,economy,3.72,7.56,Card,Completed,5.2,3.1,1.0,Yes,25.7
RD005873,2024-12-14,13:15:35,Jakarta ,DRV0388,RDR01404,ECONOMY,6.88,10.46,Card,Cancelled,4.3,4.9,1.0,No,34.5
RD009941,02/01/2024,07:34:03,BKK,DRV0585,RDR01814,economy ,4.39,12.75,Cash,Completed,4.8,4.4,1.0,No,30.4
RD005170,10-Jan-2024,08:38:13,singapore,DRV0579,RDR02388,Prem,1.03,4.59,Debit Card,Completed,5.1,5.0,1.0,No,4.9
RD010910,2024-01-20,00:31,Ho Chi Minh,DRV0675,RDR02119,bike,7.99,15.98,Wallet,Completed,3.8,3.3,1.0,No,46.2
RD004123,03-08-2024,20:04:49,Singapore,DRV0109,RDR03744,Eco,5.77,14.53,card,Completed,5.3,3.2,1.0,YES,24.8
RD012949,2024-10-15,16:55:59,Singapore,DRV0754,RDR03067,economy,3.22,5.98,wallet,Cancelled,4.6,1.0,1.5,No,14.0
RD014483,02/11/2024,18:30:19,Jakart,DRV0301,RDR01109,Eco,0.03,3.16,CASH,Completed,4.7,5.0,2.0,yes,1.2
RD000150,2024-05-20,21:17:45,singapore,DRV0680,RDR00820,Economy,5.52,10.11,CASH,Completed,4.2,4.1,1.0,no,28.2
RD011737,2024-07-05,09:27:08,Ho Chi Minh,DRV0299,RDR04306,Premium ,8.13,13.39,Credit Card,completed,2.9,4.2,1.0,No,27.4
RD000388,18/10/2024,13:59:01,Kuala  Lumpur,DRV0798,RDR03588,economy,8.25,15.95,eWallet,Completed,4.2,5.3,2.0,No,29.7
RD003947,20/02/2024,13:22:16,Bankok,DRV0266,RDR04192,Eco,6.28,9.06,E-wallet,Completed,7.0,4.0,1.0,Yes,30.6
RD013403,2024-09-28,09:10:51,MANILA,DRV0122,RDR00244,economy ,7.06,12.92,Wallet,Completed,5.1,4.9,1.0,Yes,41.8
RD001374,22/02/2024,15:10:19,Kuala Lumpur,DRV0068,RDR03353,economy,4.69,8.72,Debit Card,Completed,,2.4,1.0,No,17.2
RD002885,2024-01-22,19:37,Kuala Lumpur,DRV0659,RDR04410,Economy,3.26,5.83,eWallet,Completed,4.8,4.0,1.2,no,4.5
RD014043,2024-09-17,21:29:10,Kuala lumpur,DRV0482,RDR02312,economy ,2.65,5.48,cash,No-show,,4.7,1.8,No,13.2
RD011361,2024-04-27,07:20:41,Jakarta,DRV0378,RDR02101,economy,13.72,19.43,Wallet,Completed,4.3,4.9,1.0,TRUE,53.6
RD002992,2024-09-21,18:59:22,Ho chi minh city,DRV0599,RDR04668,Economy,4.95,10.02,Cash,Completed,4.0,1.4,1.5,No,28.8
RD011596,2024-01-13,13:06:09,HCM,DRV0081,RDR03898,Eco,3.74,8.45,eWallet,Completed,4.1,4.7,1.5,No,14.6
RD010582,12-Apr-2024,18:31,Manila,DRV0088,RDR03262,Prem,3.32,7.36,Debit Card,Completed,3.1,2.8,1.2,No,14.2
RD014868,2024-09-19,01:57 PM,Bangkok,DRV0774,RDR03087,Economy,18.21,35.06,Card,Completed,5.1,3.9,2.0,Yes,66.3
RD014425,2024-10-21,17:34:06,Manilla,DRV0275,RDR02631,Premium,6.0,8.23,wallet,Cancelled,4.9,4.9,1.5,No,26.9
RD003025,02-14-2024,21:02,Singapour,DRV0189,RDR01595,Economy,3.91,9.14,cash,Completed,4.6,4.6,1.5,Yes,15.1
RD000252,2024-01-25,20:22,Manila,DRV0286,RDR01604,Prem,2.84,7.57,Credit Card,Completed,5.2,4.0,1.0,No,12.4
RD012147,30-May-2024,11:28:40,jakarta,DRV0387,RDR04807,bike,1.51,7.98,Cash,Completed,5.0,4.0,1.2,No,4.0
RD011439,02-12-2024,16:47:57,Manila,DRV0204,RDR01611,economy,6.64,11.99,E-wallet,Cancelled,4.0,5.4,1.8,Yes,36.7
RD007093,15-Feb-2024,20:45:27,Kuala lumpur,DRV0273,RDR00949,bike,1.43,8.46,wallet,Completed,3.7,1.2,1.2,No,4.1
RD000933,12-28-2024,09:28:29,Singapore,DRV0030,RDR02848,economy,4.57,9.35,Wallet,Completed,3.1,,2.0,No,26.0
RD007218,18-Nov-2024,04:42:34,Kuala Lumpur,DRV0161,RDR01414,economy ,7.39,13.91,Debit Card,Completed,5.3,4.8,1.0,No,35.4
RD003685,2024/07/05,07:04 PM,SG,DRV0793,RDR03378,economy,5.24,10.02,CASH,No-show,5.2,3.6,1.2,No,28.3
RD008369,14/10/2024,17:10:16,Ho Chi Minh City,DRV0257,RDR01906,ECONOMY,0.05,4.83,wallet,Cancelled,2.7,3.9,1.0,No,1.0
RD009479,2024-04-18,12:26:39,jakarta,DRV0335,RDR00651,Motorbike,14.37,33.79,Debit Card,Completed,5.0,3.9,1.5,no,
RD011725,2024-01-25,15:03,Bangkok,DRV0033,RDR03924,Economy,2.06,7.78,card,Completed,4.2,4.4,2.0,Yes,8.2
RD007418,2024-09-02,18:22:57,MANILA,DRV0093,RDR03731,PREMIUM,6.14,13.79,,Cancelled,5.0,2.1,2.0,No,
RD010505,07-Nov-2024,23:46:38,Ho Chi Minh City,DRV0366,RDR01467,Economy,5.42,13.36,Credit Card,No-show,4.9,3.8,1.8,No,20.7
RD000061,2024/10/27,07:07:31,KL,DRV0233,RDR04358,economy ,1.56,3.52,Cash,Completed,5.3,,1.0,Yes,6.4
RD013510,2024-10-09,19:54:30,Jakarta ,DRV0466,RDR00013,Economy,3.99,11.68,E-wallet,Cancelled,3.3,3.8,1.0,No,16.2
RD007173,29/12/2024,11:59:14,bangkok,DRV0206,RDR01450,economy,15.87,20.9,Cash,Cancelled,4.8,4.7,1.0,No,68.0
RD003329,14-Apr-2024,15:26:18,jakarta,DRV0299,RDR00208,ECONOMY,1.41,2.82,Debit Card,Completed,3.7,3.8,1.2,No,5.4
RD005024,06-03-2024,10:21:17,Jakart,DRV0010,RDR04664,premium,2.93,7.27,CASH,Completed,3.8,,1.2,No,11.3
RD002215,11/10/2024,19:08:31,singapore,DRV0231,RDR02734,premium,13.25,29.12,cash,Completed,3.9,4.9,1.2,Yes,68.9
RD002217,2024-06-02,12:05:40,Kuala  Lumpur,DRV0532,RDR02584,ECONOMY,1.6,2.99,wallet,Completed,5.2,4.4,1.0,No,7.9
RD014796,2024-10-10,19:06:05,Jakarta,DRV0717,RDR02058,Bike,6.88,11.01,cash,Cancelled,4.2,4.0,1.0,YES,34.0
RD002860,2024-04-10,06:34:52,jakarta,DRV0613,RDR00741,Economy,5.35,10.65,card,Completed,4.9,4.9,1.0,yes,34.2
RD004025,2024-08-01,06:41 PM,HCM,DRV0290,RDR01744,economy,14.42,28.72,Cash,Completed,,5.3,1.2,no,83.0
RD002761,2024-08-14,01:45:34,manila,DRV0593,RDR04943,Eco,2.75,8.23,CASH,Completed,4.7,4.0,1.0,NO,8.3
RD003291,03-Jun-2024,10:32:56,HCM,DRV0140,RDR03180,PREMIUM,8.89,14.12,card,Completed,3.0,4.8,1.0,No,48.7
RD010044,2024-08-24,09:55:38,Manila,DRV0517,RDR03862,economy,10.04,18.77,eWallet,Cancelled,4.9,4.7,1.0,No,32.1
RD002627,2024-04-19,18:59:06,manila,DRV0664,RDR00518,premium,2.73,3.54,cash,Completed,5.2,3.1,1.2,No,10.2
RD004610,2024-05-29,07:58 PM,Singapore,DRV0777,RDR02087,ECONOMY,8.1,14.34,E-Wallet,Completed,5.1,5.4,1.2,No,42.2
RD013284,2024-01-04,12:42:56,Ho Chi Minh,DRV0566,RDR03246,Premium ,2.87,8.1,wallet,Completed,4.9,,1.5,No,18.4
RD012473,2024-01-04,09:36,Kuala Lumpur,DRV0250,RDR04355,economy ,4.06,6.87,card,Cancelled,3.0,4.3,1.2,No,20.6
RD011740,26/10/2024,16:42:33,SG,DRV0072,RDR03738,ECONOMY,3.68,9.02,Credit Card,Cancelled,0.6,4.0,1.5,No,7.9
RD006662,08-31-2024,12:11,Kuala Lumpur,DRV0074,RDR01788,Premium,,5.04,cash,Cancelled,,5.1,1.0,No,6.8
RD013940,02/04/2024,21:20,manila,DRV0511,RDR04169,Motorbike,6.94,12.84,E-wallet,Completed,5.0,1.7,1.2,No,35.3
RD007360,2024-07-01,01:14:36,KL,DRV0333,RDR01609,BIKE,5.91,14.14,card,Completed,3.8,5.0,,Yes,29.8
RD003205,23/07/2024,10:29:38,Manila,DRV0158,RDR00809,Eco,6.74,14.29,E-wallet,Completed,5.1,2.0,1.2,No,40.0
RD011753,2024-01-23,11:18,Manilla,DRV0550,RDR02389,Economy,2.87,6.81,Debit Card,Completed,4.4,5.1,,yes,11.4
RD006127,2024-09-09,19:41:27,Kuala Lumpur,DRV0394,RDR04329,Economy,1.52,7.89,card,Completed,4.0,4.4,1.5,yes,5.2
RD014630,05-14-2024,04:32 PM,MANILA,DRV0338,RDR03207,ECONOMY,3.83,9.07,Card,Completed,3.8,4.2,1.0,No,15.8
RD002679,31/10/2024,12:04:53,jakarta,DRV0416,RDR01657,Eco,3.25,6.03,Cash,Completed,3.9,4.6,1.2,No,
RD003709,23/03/2024,08:09:49,Bangkok,DRV0497,RDR02609,Eco,22.48,33.43,CASH,Completed,2.9,3.7,1.5,No,137.5
RD009988,2024-02-27,10:21:31,Kuala lumpur,DRV0212,RDR00066,ECONOMY,3.82,8.4,CASH,No-show,4.4,1.6,1.0,No,21.1
RD002806,18/07/2024,14:24:06,kuala lumpur,DRV0306,RDR01955,Premium,6.36,14.7,wallet,Completed,3.8,3.9,,no,39.8
RD001454,2024-03-05,21:30:17,Ho chi minh city,DRV0494,RDR01788,Motorbike,7.41,14.39,CASH,Cancelled,4.3,5.0,1.0,No,44.3
RD014422,18/05/2024,17:54:10,JAKARTA,DRV0746,RDR00075,premium,1.68,7.12,card,Cancelled,,4.0,1.0,No,6.7
RD010000,2024/05/10,16:28:14,Ho Chi Minh,DRV0298,RDR04249,economy ,2.54,7.66,cash,Completed,4.8,3.0,1.0,No,15.1
RD002320,2024-10-01,15:27:00,Ho Chi Minh,,RDR03501,Eco,7.25,15.68,CASH,COMPLETED,5.3,4.3,1.5,No,29.0
RD013883,2024-12-12,19:53:54,Bangkok,DRV0392,RDR04225,BIKE,9.06,19.19,card,Cancelled,5.2,4.2,1.0,No,58.0
RD012609,2024-11-01,06:45:47,Singapore,DRV0500,RDR00872,Motor,3.4,12.51,Debit Card,Cancelled,4.7,5.2,1.5,No,21.3
RD007334,24-Jan-2024,12:12:56,Bankok,DRV0189,RDR04692,Economy,3.31,6.85,Wallet,Completed,5.3,4.0,1.0,Yes,22.9
RD003652,03/07/2024,23:24,Kuala  Lumpur,DRV0136,RDR01579,Economy,7.21,13.08,cash,Completed,0.7,3.6,1.8,No,40.3
RD002289,2024-08-20,21:44:36,Jakarta,DRV0409,RDR03591,Motor,4.48,8.79,Card,Completed,4.0,,1.0,Yes,26.0
RD003624,2024-04-06,15:05:54,Jakart,DRV0143,RDR00716,Motor,6.36,8242.98,Card,Completed,5.2,3.7,1.5,Yes,30.7
RD013619,2024-09-15,13:26:21,Singapore,DRV0294,RDR01497,Eco,4.12,9.78,card,Completed,5.1,5.2,1.2,No,13.4
RD004879,2024-07-03,20:20:19,Ho chi minh city,DRV0200,RDR01114,Prem,2.58,10.14,,Cancelled,5.4,5.3,1.0,FALSE,7.5
RD001714,05/11/2024,07:51:27,Manila,DRV0725,RDR00627,PREMIUM,5.04,6.1,CASH,Cancelled,3.4,4.3,1.0,No,24.1
RD014506,03/10/2024,15:36:25,Singapore,DRV0010,RDR03521,economy ,3.31,11.2,Cash,completed,4.6,3.7,1.5,Yes,11.7
RD003590,2024-04-20,08:22 AM,Ho Chi Minh City,DRV0775,RDR00295,ECONOMY,2.71,7.53,Wallet,Completed,4.0,3.9,1.0,No,19.1
RD009467,2024-03-03,08:24:48,BKK,DRV0031,RDR01852,PREMIUM,4.21,10.22,cash,Completed,5.3,3.7,1.2,No,14.8
RD005156,2024/02/08,19:50:48,Kuala lumpur,DRV0452,RDR02705,Premium,3.56,8.72,eWallet,Completed,3.7,4.3,1.0,No,22.7
RD012595,2024-04-20,14:15:40,Jakarta ,DRV0722,RDR01483,Eco,1.73,5.36,Credit Card,Completed,3.3,,1.8,,9.2
RD013674,2024-12-27,19:14,BKK,DRV0550,RDR03123,Eco,3.95,10.52,Credit Card,Completed,5.3,4.3,1.0,No,17.0
RD003670,2024-07-14,06:40 AM,singapore,DRV0078,RDR01179,ECONOMY,26.0,52.14,cash,Completed,5.1,4.6,1.2,No,108.4
RD014325,10/12/2024,10:44:03,KL,DRV0647,RDR03182,Eco,2.56,5.3,Card,Completed,3.7,4.1,1.0,Yes,18.3
RD013525,2024-08-24,21:49:08,Kuala lumpur,DRV0113,RDR00255,economy,1.76,4.52,Wallet,Completed,5.2,4.1,1.0,Yes,
RD008385,2024-02-16,16:05:03,JAKARTA,DRV0401,RDR04272,BIKE,1.44,5.9,Wallet,COMPLETED,5.2,0.6,1.5,Yes,5.1
RD014211,28-Jun-2024,05:08 PM,Kuala Lumpur,DRV0770,RDR01019,bike,8.45,,Debit Card,Completed,3.8,2.9,1.2,Yes,53.4
RD004388,06-26-2024,10:58,Bangkok,DRV0340,RDR04781,Premium,12.15,25.99,Wallet,Cancelled,2.7,3.7,2.0,Yes,55.1
RD009124,2024/07/13,18:22:48,Jakarta,DRV0312,RDR04662,ECONOMY,1.4,4.2,Debit Card,Completed,3.0,4.1,1.5,No,6.0
RD007895,08/06/2024,20:27:01,MANILA,DRV0106,RDR04595,Premium ,4.95,8.39,Debit Card,completed,,3.7,2.5,Yes,23.8
RD001490,31/10/2024,11:45:29,Bangkok,DRV0674,RDR03740,economy ,6.32,12.16,Cash,Canceled,4.7,5.1,1.0,No,31.0
RD001607,2024-11-10,06:49 PM,HCM,DRV0604,RDR02335,economy,2.51,7.25,Debit Card,Completed,4.8,4.6,1.2,YES,9.6
RD008595,2024-08-03,08:07 AM,manila,DRV0572,RDR00792,Economy,4.97,13.19,CASH,Completed,1.3,5.3,1.5,YES,16.9
RD008529,30/08/2024,12:36:33,bangkok,DRV0047,RDR01918,Eco,5.84,9453.25,wallet,Completed,5.0,,1.2,No,26.5
RD001403,2024-11-16,17:14:20,jakarta,DRV0424,RDR02022,Premium,6.55,,CASH,Completed,3.9,3.3,1.0,No,28.0
RD009388,12-11-2024,07:01:27,Bangkok,DRV0291,RDR02749,economy ,6.02,11.68,Cash,completed,3.7,,1.0,No,39.2
RD003520,2024-03-15,14:00:43,Kuala Lumpur,DRV0429,RDR03108,bike,6.08,10.89,wallet,Cancelled,5.3,,1.0,No,24.1
RD003298,05-02-2024,18:09,Ho Chi Minh City,DRV0322,RDR03589,Premium ,1.94,5.15,eWallet,Completed,1.0,3.2,1.0,TRUE,12.3
RD001007,2024-01-07,14:02:16,singapore,DRV0763,RDR00840,premium,8.07,20.6,Wallet,completed,4.9,3.3,1.5,No,53.9
RD002792,2024-01-16,16:26:18,Kuala Lumpur,DRV0137,RDR04970,Premium ,0.02,9613.22,card,Completed,4.8,4.8,1.8,No,2.1
RD002705,2024-02-19,21:41:03,manila,DRV0551,RDR01313,economy ,2.68,9.44,card,Cancelled,3.8,5.0,1.5,Yes,13.7
RD005614,2024-02-06,13:55:51,JAKARTA,DRV0589,RDR01051,economy ,3.84,7.32,Debit Card,Completed,4.1,4.3,1.2,no,20.4
RD014031,2024-06-06,06:45 PM,SG,DRV0619,RDR04142,ECONOMY,1.23,5.72,Cash,Cancelled,3.9,5.0,1.2,No,4.4
RD005684,08-24-2024,09:00,kuala lumpur,DRV0313,RDR04339,Economy,203.25,314.2,Card,completed,4.2,1.9,1.5,No,805.8
RD012288,20/07/2024,21:56,Kuala lumpur,DRV0112,RDR03666,ECONOMY,5.53,9.71,cash,Cancelled,1.7,3.7,1.0,No,22.3
RD005401,2024-10-08,16:43:58,Jakarta,DRV0026,RDR04185,Economy,4.17,8.86,E-Wallet,Completed,5.3,3.6,1.2,No,19.9
RD002358,30/08/2024,18:46:10,Singapour,DRV0576,RDR01247,economy ,0.03,6.05,Card,completed,3.9,3.2,1.0,yes,
RD014681,2024-03-02,14:00:41,Manilla,DRV0062,RDR03531,economy,7.26,16.8,Credit Card,Cancelled,4.0,4.7,1.5,No,31.0
RD000291,2024-07-28,20:18:52,SG,DRV0737,RDR03503,BIKE,1.14,6.17,card,completed,4.6,5.0,1.0,No,9.3
RD012535,31-Jan-2024,10:31:16,Kuala  Lumpur,DRV0119,RDR04334,Economy,4.25,9.98,cash,Completed,4.1,5.2,2.5,yes,25.7
RD005909,2024-01-23,23:42:29,Singapore,DRV0425,RDR02132,Motor,3.92,4.46,Wallet,completed,2.2,4.7,1.2,No,22.0
RD013819,2024-11-17,08:25:20,Manila,DRV0277,RDR04657,Motor,2.66,5.11,Cash,Completed,6.0,2.7,1.2,No,15.9
RD006595,06/09/2024,11:44,JAKARTA,DRV0433,RDR01145,bike,1.64,6.91,CASH,Cancelled,5.0,3.3,1.0,No,2.6
RD000089,2024-09-05,17:18:36,Kuala Lumpur,DRV0692,RDR03945,Economy,3.09,6.21,card,Completed,,4.0,1.0,No,21.3
RD012999,2024-09-17,01:55:47,Kuala lumpur,DRV0521,RDR01574,economy ,6.64,9.71,E-Wallet,Completed,3.9,3.9,1.5,No,38.3
RD002233,16/11/2024,15:06:21,Ho Chi Minh City,,RDR01657,ECONOMY,2.91,10.24,CASH,Completed,4.3,5.4,2.0,No,18.6
RD008274,2024-10-25,16:35:13,Manila,DRV0070,RDR00597,BIKE,12.82,25.04,Debit Card,Cancelled,4.2,5.2,1.0,TRUE,53.9
RD009323,2024/07/04,18:53,Manila,DRV0361,RDR01774,economy,3.63,9.26,Cash,Completed,5.3,3.1,1.0,No,19.7
RD007965,2024-09-19,21:21:22,bangkok,DRV0001,RDR02952,ECONOMY,13.2,29.61,Cash,Completed,5.0,,2.0,No,47.2
RD009038,2024-09-14,10:47 PM,Kuala Lumpur,DRV0540,RDR00725,economy ,7.74,16.51,Debit Card,Completed,4.7,4.9,1.0,No,39.6
RD011409,2024-03-16,09:28:47,KL,DRV0639,RDR03374,Bike,1.44,5.56,cash,Completed,4.8,4.0,1.8,Yes,12.5
RD008392,2024-11-12,17:19,HCMC,DRV0490,RDR04504,Economy,9.57,20.68,CASH,Completed,3.1,,1.0,No,35.6
RD011750,01-22-2024,12:49:25,Singapore,DRV0161,RDR04685,Eco,3.87,7.31,Card,Completed,4.7,4.7,1.0,No,27.3
RD001057,2024-02-05,17:02,Singapore,DRV0295,RDR01821,economy ,6.03,11.44,CASH,Completed,4.9,4.4,1.0,no,31.1
RD000904,01/02/2024,10:22:12,Singapour,DRV0119,RDR02857,economy,3.12,8.85,eWallet,Completed,5.3,3.4,1.2,NO,16.8
RD014221,2024-04-18,10:01:06,Ho Chi Minh,DRV0297,RDR04337,bike,1.33,2.77,cash,Completed,3.9,4.9,1.0,Yes,2.9
RD013627,06/02/2024,17:19:11,Ho Chi Minh,DRV0729,RDR04998,economy,49.41,79.24,Credit Card,Completed,5.0,3.0,1.0,No,220.7
RD002040,15/11/2024,10:42,bangkok,DRV0081,RDR03976,PREMIUM,9.91,18.91,Debit Card,Completed,7.0,2.8,1.0,yes,47.6
RD001612,2024-10-28,15:17:55,KL,DRV0318,RDR02139,Economy,12.74,24.16,CASH,Completed,3.2,4.0,1.0,No,72.0
RD014520,31/05/2024,11:22:26,singapore,DRV0291,RDR04700,Economy,4.43,6.83,eWallet,Completed,4.7,5.4,1.0,No,24.2
RD000737,25/04/2024,12:29,Ho Chi Minh,DRV0292,RDR03296,Eco,,10.88,card,No-show,4.2,4.2,1.0,No,24.4
RD005964,02/02/2024,18:43:21,Singapore,DRV0676,RDR00733,ECONOMY,4.16,10.19,Credit Card,No-show,5.1,5.2,2.0,No,28.8
RD011876,2024-10-17,02:41:01,Manilla,DRV0767,RDR00698,Premium,2.36,5.51,Credit Card,Completed,5.2,,1.0,No,6.7
RD007309,2024-12-15,09:01,Kuala  Lumpur,DRV0781,RDR04970,PREMIUM,14.5,22.94,E-wallet,Cancelled,4.7,4.3,1.0,Yes,88.5
RD009053,2024-06-07,12:03,Singapour,DRV0503,RDR02649,ECONOMY,0.02,2.62,Debit Card,Completed,4.3,,1.0,NO,1.0
RD006178,2024-05-12,13:01:10,Manila,,RDR04998,ECONOMY,6.44,17.7,Debit Card,completed,4.9,5.2,2.5,Yes,28.4
RD013556,2024-12-23,18:14:20,Jakart,DRV0159,RDR02258,economy ,1.52,6.67,cash,Completed,5.0,4.3,1.8,No,9.6
RD002865,26-Nov-2024,20:21,Manilla,DRV0310,RDR03136,Economy,3.12,6.07,Card,Completed,5.1,,1.0,No,15.5
RD010057,2024-03-24,17:30:29,Manila,DRV0174,RDR01550,economy ,5.15,10.77,Debit Card,Completed,4.7,4.2,,Yes,23.1
RD001419,02/06/2024,17:49:27,Bangkok,DRV0069,RDR02235,Economy,3.29,5.45,card,No-show,4.7,,2.0,No,14.8
RD005915,2024-11-30,17:06:43,Singapour,DRV0491,RDR02422,Economy,4.8,7.61,card,Completed,5.4,3.2,1.8,No,24.7
RD004149,2024-05-03,10:14 AM,Jakarta,DRV0152,RDR04075,PREMIUM,3.59,6.36,cash,Cancelled,5.4,2.2,1.5,No,17.3
RD013110,2024-01-18,11:36:12,jakarta,DRV0307,RDR03981,bike,2.29,3.72,CASH,Completed,5.3,5.1,1.2,Yes,11.0
RD013686,2024-09-13,18:22:17,Singapore,DRV0225,RDR02543,ECONOMY,2.3,6.28,,Completed,3.9,5.2,1.2,No,10.2
RD001011,2024-02-06,13:06:59,HCM,DRV0396,RDR00347,economy ,3.27,7.88,Card,Completed,2.6,4.0,,No,13.7
RD008635,28/09/2024,08:54,HCM,DRV0045,RDR01160,Prem,2.34,7.88,Wallet,Completed,4.2,4.2,1.2,FALSE,15.2
